yearSeason,urlSeasonBREF,winsTeam,lossesTeam,winsPythagTeam,lossesPythagTeam,marginVictoryTeam,ratioFTtoFGATeam,ratioFTtoFGAOpponent,nameArena,attendancePerGameTeam,slugTeamBREF,urlBREFTeamData,idTeamNBA,urlThumbnailTeam,ageMeanMisc,ratingStrengthOfScheduleMisc,ratingSimpleSystemMisc,ortgTeamMisc,drtgTeamMisc,nrtgTeamMisc,paceTeamMisc,pctFTRateMisc,pct3PRateMisc,pctTrueShootingeTeamMisc,pctEFGTeamMisc,pctTOVTeamMisc,pctORBTeamMisc,pctEFGTeamOppMisc,pctTOVOpponentMisc,pctDRBOpponentMisc,isPlayoffTeam,beatExpectedWins
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,65,17,61,21,8.48,0.233,0.171,Toyota Center,17871,HOU,https://www.basketball-reference.com/teams/HOU/2018.html,1610612745,https://stats.nba.com/media/img/teams/logos/HOU_logo.svg,29.8,-0.27,8.21,114.7,106.1,8.6,97.6,0.298,0.502,0.59,0.551,12.7,21.3,0.521,13.4,79.9,TRUE,TRUE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,59,23,60,22,7.78,0.198,0.212,Air Canada Centre,19840,TOR,https://www.basketball-reference.com/teams/TOR/2018.html,1610612761,https://stats.nba.com/media/img/teams/logos/TOR_logo.svg,25.8,-0.49,7.29,113.8,105.9,7.9,97.4,0.25,0.377,0.575,0.539,12.1,23,0.501,13,77.7,TRUE,FALSE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,58,24,56,26,5.98,0.195,0.186,Oracle Arena,19596,GSW,https://www.basketball-reference.com/teams/GSW/2018.html,1610612744,https://stats.nba.com/media/img/teams/logos/GSW_logo.svg,28.8,-0.19,5.79,113.6,107.6,6,99.6,0.239,0.339,0.603,0.569,14.1,21,0.504,12.6,76.3,TRUE,TRUE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,48,34,53,29,4.3,0.202,0.19,Vivint Smart Home Arena,17922,UTA,https://www.basketball-reference.com/teams/UTA/2018.html,1610612762,https://stats.nba.com/media/img/teams/logos/UTA_logo.svg,26.7,0.17,4.47,108.4,103.9,4.5,95.7,0.26,0.357,0.564,0.527,13.7,21.5,0.506,14,79.8,TRUE,FALSE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,52,30,53,29,4.5,0.198,0.218,Wells Fargo Center,20361,PHI,https://www.basketball-reference.com/teams/PHI/2018.html,1610612755,https://stats.nba.com/media/img/teams/logos/PHI_logo.svg,25.8,-0.2,4.3,109.5,105,4.5,99.8,0.263,0.344,0.568,0.535,14.6,25.3,0.492,12.6,78.6,TRUE,FALSE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,48,34,50,32,3.41,0.197,0.193,Chesapeake Energy Arena,18203,OKC,https://www.basketball-reference.com/teams/OKC/2018.html,1610612760,https://stats.nba.com/media/img/teams/logos/OKC_logo.svg,27.3,0,3.42,110.7,107.2,3.5,96.7,0.275,0.345,0.546,0.514,12.4,27.7,0.525,14.7,77.4,TRUE,FALSE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,55,27,51,31,3.59,0.188,0.191,TD Garden,18624,BOS,https://www.basketball-reference.com/teams/BOS/2018.html,1610612738,https://stats.nba.com/media/img/teams/logos/BOS_logo.svg,24.7,-0.35,3.23,107.6,103.9,3.7,96,0.243,0.357,0.552,0.518,13,21.5,0.495,13,78.4,TRUE,TRUE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,47,35,49,33,2.89,0.189,0.17,AT&T Center,18404,SAS,https://www.basketball-reference.com/teams/SAS/2018.html,1610612759,https://stats.nba.com/media/img/teams/logos/SAS_logo.svg,29.3,0,2.89,107.9,104.8,3.1,95,0.245,0.282,0.543,0.507,12.2,23.7,0.507,13.2,78.6,TRUE,FALSE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,49,33,48,34,2.6,0.192,0.193,Moda Center,19409,POR,https://www.basketball-reference.com/teams/POR/2018.html,1610612757,https://stats.nba.com/media/img/teams/logos/POR_logo.svg,25.6,0,2.6,109.1,106.4,2.7,96.5,0.24,0.324,0.549,0.511,12.3,23.3,0.503,11.7,79.1,TRUE,TRUE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,47,35,47,35,2.23,0.225,0.189,Target Center,17056,MIN,https://www.basketball-reference.com/teams/MIN/2018.html,1610612750,https://stats.nba.com/media/img/teams/logos/MIN_logo.svg,27.1,0.12,2.35,113.4,111.1,2.3,96,0.28,0.261,0.566,0.523,11.4,24.4,0.539,13.9,76.4,TRUE,FALSE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,46,36,45,37,1.48,0.198,0.173,Pepsi Center,17141,DEN,https://www.basketball-reference.com/teams/DEN/2018.html,1610610027,https://stats.nba.com/media/img/teams/logos/NBA_logo.svg,25.1,0.09,1.57,112.5,111,1.5,96.8,0.258,0.357,0.57,0.536,13.4,25.7,0.539,12.6,77.5,FALSE,TRUE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,48,34,44,38,1.3,0.183,0.175,Smoothie King Center,16437,NOP,https://www.basketball-reference.com/teams/NOP/2018.html,1610612740,https://stats.nba.com/media/img/teams/logos/NOP_logo.svg,27.6,0.18,1.48,109.6,108.3,1.3,100.5,0.237,0.319,0.573,0.541,13.3,20,0.513,12.5,76.7,TRUE,TRUE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,48,34,45,37,1.38,0.173,0.174,Bankers Life Fieldhouse,16052,IND,https://www.basketball-reference.com/teams/IND/2018.html,1610612754,https://stats.nba.com/media/img/teams/logos/IND_logo.svg,26.2,-0.2,1.18,109.5,108.1,1.4,96,0.222,0.284,0.557,0.525,12.3,22.7,0.527,14.2,76.2,TRUE,TRUE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,50,32,43,39,0.94,0.214,0.166,Quicken Loans Arena,20562,CLE,https://www.basketball-reference.com/teams/CLE/2018.html,1610612739,https://stats.nba.com/media/img/teams/logos/CLE_logo.svg,30.6,-0.35,0.59,112.9,111.9,1,98,0.275,0.379,0.584,0.547,12.6,20.1,0.54,12.2,77.3,TRUE,TRUE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,43,39,43,39,0.59,0.196,0.212,Capital One Arena,18032,WAS,https://www.basketball-reference.com/teams/WAS/2018.html,1610612764,https://stats.nba.com/media/img/teams/logos/WAS_logo.svg,26.9,-0.06,0.53,109.3,108.7,0.6,96.6,0.254,0.31,0.56,0.525,13.3,23.5,0.522,13.6,77.1,TRUE,FALSE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,42,40,41,41,0.04,0.222,0.203,STAPLES Center,17020,LAC,https://www.basketball-reference.com/teams/LAC/2018.html,1610612746,https://stats.nba.com/media/img/teams/logos/LAC_logo.svg,27,0.11,0.15,110.3,110.2,0.1,98.7,0.299,0.314,0.564,0.527,13.2,23.5,0.52,12.6,76.1,FALSE,TRUE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,44,38,42,40,0.48,0.173,0.215,AmericanAirlines Arena,19630,MIA,https://www.basketball-reference.com/teams/MIA/2018.html,1610612748,https://stats.nba.com/media/img/teams/logos/MIA_logo.svg,26.5,-0.33,0.15,106.8,106.3,0.5,95.6,0.229,0.358,0.551,0.52,13.3,21.5,0.507,13.1,79,TRUE,TRUE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,36,46,42,40,0.26,0.233,0.165,Spectrum Center,16376,CHO,https://www.basketball-reference.com/teams/CHO/2018.html,1610612766,https://stats.nba.com/media/img/teams/logos/CHA_logo.svg,26.6,-0.19,0.07,109.4,109.1,0.3,98.4,0.312,0.314,0.549,0.508,11.4,22.2,0.532,12.4,80.7,FALSE,FALSE
2018,https://www.basketball-reference.com/leagues/NBA_2018.html,39,43,41,41,-0.15,0.169,0.172,Little Caesars Arena,17413,DET,https://www.basketball-reference.com/teams/DET/2018.html,1610612765,https://stats.nba.com/media/img/teams/logos/DET_logo.svg,25.9,-0.11,-0.26,107.2,107.3,-0.1,96.2,0.227,0.333,0.543,0.512,12.3,22.7,0.524,13.7,78.5,FALSE,FALSE
